subject_id,motif_id,usage_percentage,frequency_starts,total_frames,source_path
Female 3- CBD- DN1-02-19-21_DLC,4,1563.0,109,1563,Open-Field-Test\results\Female 3- CBD- DN1-02-19-21_DLC\VAME\hmm-15
Female 3- CBD- DN1-02-19-21_DLC,5,223.0,25,223,Open-Field-Test\results\Female 3- CBD- DN1-02-19-21_DLC\VAME\hmm-15
Female 3- CBD- DN1-02-19-21_DLC,6,0.0,0,0,Open-Field-Test\results\Female 3- CBD- DN1-02-19-21_DLC\VAME\hmm-15
Female 3- CBD- DN1-02-19-21_DLC,7,484.0,12,484,Open-Field-Test\results\Female 3- CBD- DN1-02-19-21_DLC\VAME\hmm-15
Female 3- CBD- DN1-02-19-21_DLC,8,1399.0,78,1399,Open-Field-Test\results\Female 3- CBD- DN1-02-19-21_DLC\VAME\hmm-15
Female 3- CBD- DN1-02-19-21_DLC,9,705.0,26,705,Open-Field-Test\results\Female 3- CBD- DN1-02-19-21_DLC\VAME\hmm-15
Female 3- CBD- DN1-02-19-21_DLC,10,497.0,22,497,Open-Field-Test\results\Female 3- CBD- DN1-02-19-21_DLC\VAME\hmm-15
Female 3- CBD- DN1-02-19-21_DLC,11,0.0,0,0,Open-Field-Test\results\Female 3- CBD- DN1-02-19-21_DLC\VAME\hmm-15
Female 3- CBD- DN1-02-19-21_DLC,12,183.0,17,183,Open-Field-Test\results\Female 3- CBD- DN1-02-19-21_DLC\VAME\hmm-15
Female 3- CBD- DN1-02-19-21_DLC,13,4818.0,175,4818,Open-Field-Test\results\Female 3- CBD- DN1-02-19-21_DLC\VAME\hmm-15
Female 3- CBD- DN1-02-19-21_DLC,14,1977.0,91,1977,Open-Field-Test\results\Female 3- CBD- DN1-02-19-21_DLC\VAME\hmm-15
Female 4- CBD - DN2-02-19-21_DLC,0,2572.0,153,2572,Open-Field-Test\results\Female 4- CBD - DN2-02-19-21_DLC\VAME\hmm-15
Female 4- CBD - DN2-02-19-21_DLC,1,334.0,40,334,Open-Field-Test\results\Female 4- CBD - DN2-02-19-21_DLC\VAME\hmm-15
Female 4- CBD - DN2-02-19-21_DLC,2,850.0,90,850,Open-Field-Test\results\Female 4- CBD - DN2-02-19-21_DLC\VAME\hmm-15
Female 4- CBD - DN2-02-19-21_DLC,3,987.0,64,987,Open-Field-Test\results\Female 4- CBD - DN2-02-19-21_DLC\VAME\hmm-15
Female 4- CBD - DN2-02-19-21_DLC,4,2618.0,163,2618,Open-Field-Test\results\Female 4- CBD - DN2-02-19-21_DLC\VAME\hmm-15
Female 4- CBD - DN2-02-19-21_DLC,5,222.0,36,222,Open-Field-Test\results\Female 4- CBD - DN2-02-19-21_DLC\VAME\hmm-15
Female 4- CBD - DN2-02-19-21_DLC,6,0.0,0,0,Open-Field-Test\results\Female 4- CBD - DN2-02-19-21_DLC\VAME\hmm-15
Female 4- CBD - DN2-02-19-21_DLC,7,1710.0,60,1710,Open-Field-Test\results\Female 4- CBD - DN2-02-19-21_DLC\VAME\hmm-15
Female 4- CBD - DN2-02-19-21_DLC,8,1680.0,119,1680,Open-Field-Test\results\Female 4- CBD - DN2-02-19-21_DLC\VAME\hmm-15
Female 4- CBD - DN2-02-19-21_DLC,9,981.0,36,981,Open-Field-Test\results\Female 4- CBD - DN2-02-19-21_DLC\VAME\hmm-15
Female 4- CBD - DN2-02-19-21_DLC,10,1713.0,76,1713,Open-Field-Test\results\Female 4- CBD - DN2-02-19-21_DLC\VAME\hmm-15
Female 4- CBD - DN2-02-19-21_DLC,11,181.0,27,181,Open-Field-Test\results\Female 4- CBD - DN2-02-19-21_DLC\VAME\hmm-15
Female 4- CBD - DN2-02-19-21_DLC,12,750.0,56,750,Open-Field-Test\results\Female 4- CBD - DN2-02-19-21_DLC\VAME\hmm-15
Female 4- CBD - DN2-02-19-21_DLC,13,1809.0,96,1809,Open-Field-Test\results\Female 4- CBD - DN2-02-19-21_DLC\VAME\hmm-15
Female 4- CBD - DN2-02-19-21_DLC,14,2471.0,155,2471,Open-Field-Test\results\Female 4- CBD - DN2-02-19-21_DLC\VAME\hmm-15
Female 5-CBD-DN3-02-19-21_DLC,0,2756.0,187,2756,Open-Field-Test\results\Female 5-CBD-DN3-02-19-21_DLC\VAME\hmm-15
Female 5-CBD-DN3-02-19-21_DLC,1,558.0,54,558,Open-Field-Test\results\Female 5-CBD-DN3-02-19-21_DLC\VAME\hmm-15
Female 5-CBD-DN3-02-19-21_DLC,2,1972.0,192,1972,Open-Field-Test\results\Female 5-CBD-DN3-02-19-21_DLC\VAME\hmm-15
Female 5-CBD-DN3-02-19-21_DLC,3,985.0,90,985,Open-Field-Test\results\Female 5-CBD-DN3-02-19-21_DLC\VAME\hmm-15
Female 5-CBD-DN3-02-19-21_DLC,4,1721.0,142,1721,Open-Field-Test\results\Female 5-CBD-DN3-02-19-21_DLC\VAME\hmm-15
Female 5-CBD-DN3-02-19-21_DLC,5,586.0,91,586,Open-Field-Test\results\Female 5-CBD-DN3-02-19-21_DLC\VAME\hmm-15
Female 5-CBD-DN3-02-19-21_DLC,6,17.0,1,17,Open-Field-Test\results\Female 5-CBD-DN3-02-19-21_DLC\VAME\hmm-15
Female 5-CBD-DN3-02-19-21_DLC,7,1017.0,37,1017,Open-Field-Test\results\Female 5-CBD-DN3-02-19-21_DLC\VAME\hmm-15
Female 5-CBD-DN3-02-19-21_DLC,8,1454.0,113,1454,Open-Field-Test\results\Female 5-CBD-DN3-02-19-21_DLC\VAME\hmm-15
Female 5-CBD-DN3-02-19-21_DLC,9,194.0,8,194,Open-Field-Test\results\Female 5-CBD-DN3-02-19-21_DLC\VAME\hmm-15
Female 5-CBD-DN3-02-19-21_DLC,10,1822.0,70,1822,Open-Field-Test\results\Female 5-CBD-DN3-02-19-21_DLC\VAME\hmm-15
Female 5-CBD-DN3-02-19-21_DLC,11,603.0,69,603,Open-Field-Test\results\Female 5-CBD-DN3-02-19-21_DLC\VAME\hmm-15
Female 5-CBD-DN3-02-19-21_DLC,12,1039.0,76,1039,Open-Field-Test\results\Female 5-CBD-DN3-02-19-21_DLC\VAME\hmm-15
Female 5-CBD-DN3-02-19-21_DLC,13,1992.0,78,1992,Open-Field-Test\results\Female 5-CBD-DN3-02-19-21_DLC\VAME\hmm-15
Female 5-CBD-DN3-02-19-21_DLC,14,2242.0,167,2242,Open-Field-Test\results\Female 5-CBD-DN3-02-19-21_DLC\VAME\hmm-15
Female 6-CBD-DN4-02-19-21_DLC,0,2531.0,172,2531,Open-Field-Test\results\Female 6-CBD-DN4-02-19-21_DLC\VAME\hmm-15
Female 6-CBD-DN4-02-19-21_DLC,1,765.0,76,765,Open-Field-Test\results\Female 6-CBD-DN4-02-19-21_DLC\VAME\hmm-15
Female 6-CBD-DN4-02-19-21_DLC,2,2897.0,222,2897,Open-Field-Test\results\Female 6-CBD-DN4-02-19-21_DLC\VAME\hmm-15
